user_id,evm_address,sui_address,total_asset_value,total_debt_value,net_value,BTC_ORIGINAL_AMOUNT,BTC_ORIGINAL_VALUE,BTC_REPAID_AMOUNT,BTC_REPAID_VALUE,BTC_FINAL_AMOUNT,BTC_FINAL_VALUE,USDT_ORIGINAL_AMOUNT,USDT_ORIGINAL_VALUE,USDT_REPAID_AMOUNT,USDT_REPAID_VALUE,USDT_FINAL_AMOUNT,USDT_FINAL_VALUE,USDC_ORIGINAL_AMOUNT,USDC_ORIGINAL_VALUE,USDC_REPAID_AMOUNT,USDC_REPAID_VALUE,USDC_FINAL_AMOUNT,USDC_FINAL_VALUE,SUI_ORIGINAL_AMOUNT,SUI_ORIGINAL_VALUE,SUI_REPAID_AMOUNT,SUI_REPAID_VALUE,SUI_FINAL_AMOUNT,SUI_FINAL_VALUE,ETH_ORIGINAL_AMOUNT,ETH_ORIGINAL_VALUE,ETH_REPAID_AMOUNT,ETH_REPAID_VALUE,ETH_FINAL_AMOUNT,ETH_FINAL_VALUE,POL_ORIGINAL_AMOUNT,POL_ORIGINAL_VALUE,POL_REPAID_AMOUNT,POL_REPAID_VALUE,POL_FINAL_AMOUNT,POL_FINAL_VALUE,ARB_ORIGINAL_AMOUNT,ARB_ORIGINAL_VALUE,ARB_REPAID_AMOUNT,ARB_REPAID_VALUE,ARB_FINAL_AMOUNT,ARB_FINAL_VALUE,OP_ORIGINAL_AMOUNT,OP_ORIGINAL_VALUE,OP_REPAID_AMOUNT,OP_REPAID_VALUE,OP_FINAL_AMOUNT,OP_FINAL_VALUE,whUSDCeth_ORIGINAL_AMOUNT,whUSDCeth_ORIGINAL_VALUE,whUSDCeth_REPAID_AMOUNT,whUSDCeth_REPAID_VALUE,whUSDCeth_FINAL_AMOUNT,whUSDCeth_FINAL_VALUE,AVAX_ORIGINAL_AMOUNT,AVAX_ORIGINAL_VALUE,AVAX_REPAID_AMOUNT,AVAX_REPAID_VALUE,AVAX_FINAL_AMOUNT,AVAX_FINAL_VALUE,BNB_ORIGINAL_AMOUNT,BNB_ORIGINAL_VALUE,BNB_REPAID_AMOUNT,BNB_REPAID_VALUE,BNB_FINAL_AMOUNT,BNB_FINAL_VALUE
0,PROTOCOL_TOTAL,PROTOCOL_TOTAL,442695.30318061 USD,102060.05208372 USD,340635.25109689 USD,2.05000746,215730.28004489 USD,0.52421100,55164.76795290 USD,1.52579646,160565.51209199 USD,11638.01538053,11638.01538053 USD,7096.50776267,7096.50776267 USD,4541.50761786,4541.50761786 USD,14257.32325335,14250.19459172 USD,7680.20569442,7676.36559157 USD,6577.11755893,6573.82900015 USD,58604.02323455,162790.25574093 USD,8144.38433366,22623.47080204 USD,50459.63890089,140166.78493889 USD,1.95978490,4752.67436099 USD,0.35339750,857.02427725 USD,1.60638740,3895.65008374 USD,102747.19417619,18617.79158473 USD,1889.51092400,342.37937943 USD,100857.68325219,18275.41220530 USD,1332.01609100,419.31866545 USD,80.76959430,25.42626829 USD,1251.24649670,393.89239716 USD,1481.69185647,818.48658151 USD,152.96450704,84.49759369 USD,1328.72734943,733.98898783 USD,13288.86418633,13282.21975424 USD,8181.41543856,8177.32473084 USD,5107.44874777,5104.89502340 USD,3.94900031,71.50849761 USD,0.05572085,1.00899315 USD,3.89327946,70.49950446 USD,0.50743899,324.55797800 USD,0.01763404,11.27873198 USD,0.48980495,313.27924602 USD
1,0xdde799cb536f44e1b11fd3ddc703c4e0248dedfd,0x2d8a1f9e142f4462098394765ce62e51b999b47a4bae5d15cde4f8499313e4d0,1.27480950 USD,0.62284987 USD,0.65195963 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0.45892775,1.27480950 USD,0.22422416,0.62284987 USD,0.23470359,0.65195963 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
5,0xe3d651953c39b1442d162d718fcc319d84b4355b,0x5552e417bb733ee0d02ed515259c23f9d35f47d15811b70827366db53cbafb7b,19.18887361 USD,2.64088343 USD,16.54799018 USD,0.00002575,2.70977292 USD,0,0 USD,0.00002575,2.70977292 USD,1.11147237,1.11147237 USD,0,0 USD,1.11147237,1.11147237 USD,0,0 USD,0,0 USD,0,0 USD,5.37004861,14.91692103 USD,0.95071043,2.64088343 USD,4.41933818,12.27603760 USD,0.00005416,0.13134342 USD,0,0 USD,0.00005416,0.13134342 USD,0.00999648,0.00181136 USD,0,0 USD,0.00999648,0.00181136 USD,0,0 USD,0,0 USD,0,0 USD,0.57485972,0.31755251 USD,0,0 USD,0.57485972,0.31755251 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
6,0x0e40519af01985208114ffac4441b9b13218572f,0x57052aa443706c3492f7214495f59a2ec71efcf50241b3023ce4278eab1dad30,60.17376039 USD,26.16131812 USD,34.01244227 USD,0,0 USD,0,0 USD,0,0 USD,0.23646564,0.23646564 USD,0,0 USD,0.23646564,0.23646564 USD,0,0 USD,0,0 USD,0,0 USD,21.13288041,58.70291520 USD,9.41799918,26.16131812 USD,11.71488123,32.54159708 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,1.07194352,1.07140755 USD,0,0 USD,1.07194352,1.07140755 USD,0.00900000,0.16297200 USD,0,0 USD,0.00900000,0.16297200 USD,0,0 USD,0,0 USD,0,0 USD
13,0x,0xc8deaaf0e87f97ace8f799abd65a75996b9d41a28ce6aaf2621c34f2b9ed2a4e,2.89500808 USD,0.00000000 USD,2.89500808 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,1.04219457,2.89500808 USD,0,0 USD,1.04219457,2.89500808 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
35,0x22eeb166310ee35695dd856df8b4f7ae489df933,0xf0780827c119e2562d258a064d3047fd975adafcc89fa0bcef2c9be63b7bbb94,45.31033549 USD,10.13996896 USD,35.17036653 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,11.82130237,11.81539172 USD,0,0 USD,11.82130237,11.81539172 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0.05236858,33.49494377 USD,0.01585361,10.13996896 USD,0.03651497,23.35497481 USD
58,0xef75d606fb8b08d1ee5800fd379843ca53464ce1,0x,2.01626406 USD,0.00000000 USD,2.01626406 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,5.01176243,0.90813135 USD,0,0 USD,5.01176243,0.90813135 USD,0,0 USD,0,0 USD,0,0 USD,2.00603314,1.10813271 USD,0,0 USD,2.00603314,1.10813271 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
59,0xf9ff4cf31bf2617362b9dd30c594348df7c3d91a,0x65621bbc28f769bcd2ac75199450b57880e759bd891e6e821e5525d396245ba8,854.24746776 USD,30.63510208 USD,823.61236568 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,307.52662818,854.24746776 USD,11.02854852,30.63510208 USD,296.49807966,823.61236568 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
62,0x,0x1869bdc15fc7a529b52b6bf9aad9fe2d1743fe42028273e4afb325632bbb8cfb,7.58721678 USD,0.00000000 USD,7.58721678 USD,0,0 USD,0,0 USD,0,0 USD,0.34426540,0.34426540 USD,0,0 USD,0.34426540,0.34426540 USD,0.10896903,0.10891455 USD,0,0 USD,0.10896903,0.10891455 USD,2.05220222,5.70060733 USD,0,0 USD,2.05220222,5.70060733 USD,0,0 USD,0,0 USD,0,0 USD,1.10259688,0.19979055 USD,0,0 USD,1.10259688,0.19979055 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,1.23425608,1.23363895 USD,0,0 USD,1.23425608,1.23363895 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
64,0x56e6b2d900de493eb845a34a7b4094a540308f71,0x70f4debad73a932b4c9fabd43c2d403a4b2549273774ec7e11936bbabc011cf9,4.46561317 USD,0.00000000 USD,4.46561317 USD,0,0 USD,0,0 USD,0,0 USD,4.46454677,4.46454677 USD,0,0 USD,4.46454677,4.46454677 USD,0.00106693,0.00106640 USD,0,0 USD,0.00106693,0.00106640 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD,0,0 USD
