user_id,evm_address,sui_address,final_amount,chain_name,asset_name,tx_hash,status,timestamp
7317,0x96f5b642ab3eb8804128d861591c0e0122d72efc,0x,0.37413004,arb,ETH,0x68aba4b458ae482c404cc5c6c1e92172c6b1cdf2d82e59522952f04bb52bc4a4,success,2025-06-25T15:34:43.155414
13442,0x5b477859cbe714680946b2936daafbd04408e791,0x,0.10155791,arb,ETH,0xf9ad5a5803f2c33ccd18129fab466ed19f5dfb8ffb484b88ad9426e3f97e2ab1,success,2025-06-25T15:34:43.155425
11083,0x90a20abd4d4c99503e3e9b30ecf03ffdec8daf4b,0x,0.10073075,arb,ETH,0x9dd6d6080c2307d7d39b7160516d494499464b2cee9c5351304046d345904f46,success,2025-06-25T15:34:43.155431
9936,0xda4f98556901d68d4e0ef60ef0ba09fe76822735,0x,0.09067815,arb,ETH,0x69a2e007de87e7152c2ee4d99a9e42a8143b3f739c42b6c8132f34a4e37d0800,success,2025-06-25T15:34:43.155437
9565,0xf83713ea073995f61192d37ce7fb3ac4941fc26a,0x,0.07062794,arb,ETH,0x8830e88dfe05a594ac175b26a68b631247191072767baa46bb211f2d638b36b5,success,2025-06-25T15:34:43.155443
11863,0xfd60f42af0afac0beedff4da364554ac24263cea,0x,0.06042564,arb,ETH,0xdba1fda372154105803b2c458aba725a48a43decfd78e37048e27e79b29cea71,success,2025-06-25T15:34:43.155449
13395,0x42bf78019c6a8fe036b4d82b1e35c52d04984dd0,0x,0.05984672,arb,ETH,0x17035d38aaf751b9d98ed78077e1637b6fb368ce02dfc6a543acbe791a4276be,success,2025-06-25T15:34:43.155455
8891,0xaadd767eef3e0064a7fb52924f62bba488edbefe,0x,0.05041759,arb,ETH,0x98642f520cd42a23900f2d1f61b1190003b8f1f878de4e6330a81af34096085d,success,2025-06-25T15:34:43.155460
9187,0xdcc1f0af33526f1fc3905fb0104d81919d2e1571,0x,0.04775621,arb,ETH,0x7ef730feaaebaa13310e52c4ea38e3392af5e21b201d84aa13f384711553e458,success,2025-06-25T15:34:43.155466
9420,0xa970fa27e02a61d9ee6eb311cce7b8d2bdc6ab50,0x,0.04522241,arb,ETH,0xfdd1308756a3406d2bc0bbda477ad38c73e7193c2e8ae85caa7a867f27ee531e,success,2025-06-25T15:34:43.155472
8488,0x1ae19f33d891400f929a86fb3fb94362f49acf0a,0x,0.04035198,arb,ETH,0x3e435eb982d70039f2dd9d8e56824d8ac439feb9f0bba484d0c35d1ac8900b7b,success,2025-06-25T15:34:43.155478
8490,0x799854c1b15ce300eeb1c88d0dd40d33bf9ccc31,0x,0.03026395,arb,ETH,0x3863895bb019edea4be339af6e611a79eb17a5c38ff3798a6f96b7a3f77b15ae,success,2025-06-25T15:34:43.155483
7187,0xee47059602dcaeb1cdd912fc6b0cb7c7ad952a6a,0x,0.03025899,arb,ETH,0xb920d46b6c8e49018d3b9a0f8d38e7f52d2a17596bf542e53e2bb8b947fff5ec,success,2025-06-25T15:34:43.155489
9957,0xb183104bc672ad85796b4c6e8f45651d255e08d7,0x,0.02867336,arb,ETH,0x7493e897726566618d0220ac684761852dc83f8f20b31b27dce55d2ad9b018b3,success,2025-06-25T15:34:43.155495
